START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  1.0624353766451189E+00 -8.8477351317926909E-04  5.7182160205932975E-01
 -1.0624353766451189E+00  8.8477351317926909E-04 -5.7182160205932975E-01
 -1.0626349237829542E+00  2.0828675737850108E-03  5.7182160205932975E-01
  1.0626349237829542E+00 -2.0828675737850108E-03 -5.7182160205932975E-01
 -1.9954713783521227E-04 -5.2909176261041202E-01  1.1436432041186595E+00
  1.9954713783521227E-04  5.2909176261041202E-01 -1.1436432041186595E+00
 -5.3106802796918307E-01 -4.5618378886467181E-04 -1.1436432041186595E+00
  5.3106802796918307E-01  4.5618378886467181E-04  1.1436432041186595E+00
  5.3146712224485348E-01 -1.9400043323468119E-03 -1.1436432041186595E+00
 -5.3146712224485348E-01  1.9400043323468119E-03  1.1436432041186595E+00
 -1.9954713783521227E-04  5.3148795073162358E-01  1.1436432041186595E+00
  1.9954713783521227E-04 -5.3148795073162358E-01 -1.1436432041186595E+00
  5.3136734867593594E-01  1.0592387560399918E+00 -5.7182160205932975E-01
 -5.3136734867593594E-01 -1.0592387560399918E+00  5.7182160205932975E-01
  5.3116780153810061E-01  1.0604368501005974E+00  5.7182160205932975E-01
 -5.3116780153810061E-01 -1.0604368501005974E+00 -5.7182160205932975E-01
  5.3116780153810061E-01 -1.0607225765834738E+00  5.7182160205932975E-01
 -5.3116780153810061E-01  1.0607225765834738E+00 -5.7182160205932975E-01
  1.0626349237829542E+00  5.2820698909723274E-01 -5.7182160205932975E-01
 -1.0626349237829542E+00 -5.2820698909723274E-01  5.7182160205932975E-01
 -1.0624353766451189E+00 -5.2940508315783852E-01 -5.7182160205932975E-01
  1.0624353766451189E+00  5.2940508315783852E-01  5.7182160205932975E-01
  5.3136734867593594E-01 -1.0619206706440794E+00 -5.7182160205932975E-01
 -5.3136734867593594E-01  1.0619206706440794E+00  5.7182160205932975E-01
  1.0624353766451189E+00 -5.3117463018419708E-01  5.7182160205932975E-01
 -1.0624353766451189E+00  5.3117463018419708E-01 -5.7182160205932975E-01
 -1.0626349237829542E+00  5.3237272424480286E-01  5.7182160205932975E-01
  1.0626349237829542E+00 -5.3237272424480286E-01 -5.7182160205932975E-01
  5.3146712224485348E-01  5.2834985233867093E-01 -1.1436432041186595E+00
 -5.3146712224485348E-01 -5.2834985233867093E-01  1.1436432041186595E+00
  5.3106802796918307E-01 -5.2983367288215311E-01  1.1436432041186595E+00
 -5.3106802796918307E-01  5.2983367288215311E-01 -1.1436432041186595E+00
 -5.3106802796918307E-01 -5.3074604045988250E-01 -1.1436432041186595E+00
  5.3106802796918307E-01  5.3074604045988250E-01  1.1436432041186595E+00
 -5.3146712224485348E-01  5.3222986100336467E-01  1.1436432041186595E+00
  5.3146712224485348E-01 -5.3222986100336467E-01 -1.1436432041186595E+00
 -1.0625351502140366E+00 -1.0590958927985534E+00  0.0000000000000000E+00
  1.0625351502140366E+00  1.0590958927985534E+00  0.0000000000000000E+00
  1.0625351502140366E+00 -1.0620635338855178E+00  0.0000000000000000E+00
 -1.0625351502140366E+00  1.0620635338855178E+00  0.0000000000000000E+00
 -1.9954713783521227E-04 -1.0593816192814298E+00  1.1436432041186595E+00
  1.9954713783521227E-04  1.0593816192814298E+00 -1.1436432041186595E+00
 -1.9954713783521227E-04  1.0617778074026414E+00  1.1436432041186595E+00
  1.9954713783521227E-04 -1.0617778074026414E+00 -1.1436432041186595E+00
  1.0623356030762012E+00 -2.8572648287639819E-04  1.1436432041186595E+00
 -1.0623356030762012E+00  2.8572648287639819E-04 -1.1436432041186595E+00
  1.0627346973518719E+00 -2.6819146040878818E-03 -1.1436432041186595E+00
 -1.0627346973518719E+00  2.6819146040878818E-03  1.1436432041186595E+00
  0.0000000000000000E+00 -1.5908695700130533E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.5908695700130533E+00  0.0000000000000000E+00
 -1.5938027253210549E+00  2.2257308152232101E-03  0.0000000000000000E+00
  1.5938027253210549E+00 -2.2257308152232101E-03  0.0000000000000000E+00
 -1.0626349237829542E+00 -1.0584968457682506E+00  5.7182160205932975E-01
  1.0626349237829542E+00  1.0584968457682506E+00 -5.7182160205932975E-01
 -1.0624353766451189E+00 -1.0596949398288562E+00 -5.7182160205932975E-01
  1.0624353766451189E+00  1.0596949398288562E+00  5.7182160205932975E-01
  1.0624353766451189E+00 -1.0614644868552150E+00  5.7182160205932975E-01
 -1.0624353766451189E+00  1.0614644868552150E+00 -5.7182160205932975E-01
  1.0626349237829542E+00 -1.0626625809158206E+00 -5.7182160205932975E-01
 -1.0626349237829542E+00  1.0626625809158206E+00  5.7182160205932975E-01
  5.3146712224485348E-01  1.0586397090096888E+00 -1.1436432041186595E+00
 -5.3146712224485348E-01 -1.0586397090096888E+00  1.1436432041186595E+00
  5.3106802796918307E-01 -1.0601235295531708E+00  1.1436432041186595E+00
 -5.3106802796918307E-01  1.0601235295531708E+00 -1.1436432041186595E+00
  1.0627346973518719E+00  5.2760794206692985E-01 -1.1436432041186595E+00
 -1.0627346973518719E+00 -5.2760794206692985E-01  1.1436432041186595E+00
  5.3106802796918307E-01  1.0610358971309004E+00  1.1436432041186595E+00
 -5.3106802796918307E-01 -1.0610358971309004E+00 -1.1436432041186595E+00
 -1.0623356030762012E+00 -5.3000413018814141E-01 -1.1436432041186595E+00
  1.0623356030762012E+00  5.3000413018814141E-01  1.1436432041186595E+00
 -1.0623356030762012E+00  5.3057558315389419E-01 -1.1436432041186595E+00
  1.0623356030762012E+00 -5.3057558315389419E-01  1.1436432041186595E+00
 -5.3146712224485348E-01  1.0625197176743824E+00  1.1436432041186595E+00
  5.3146712224485348E-01 -1.0625197176743824E+00 -1.1436432041186595E+00
 -1.0627346973518719E+00  5.3297177127510575E-01  1.1436432041186595E+00
  1.0627346973518719E+00 -5.3297177127510575E-01 -1.1436432041186595E+00
  5.3126757510701828E-01  1.5901276597413123E+00  0.0000000000000000E+00
 -5.3126757510701828E-01 -1.5901276597413123E+00  0.0000000000000000E+00
 -5.3126757510701828E-01  1.5916114802847943E+00  0.0000000000000000E+00
  5.3126757510701828E-01 -1.5916114802847943E+00  0.0000000000000000E+00
 -1.5938027253210549E+00 -5.2806412585579454E-01  0.0000000000000000E+00
  1.5938027253210549E+00  5.2806412585579454E-01  0.0000000000000000E+00
 -1.5938027253210549E+00  5.3251558748624106E-01  0.0000000000000000E+00
  1.5938027253210549E+00 -5.3251558748624106E-01  0.0000000000000000E+00
  9.9773568917606135E-05  1.5902705229827505E+00 -5.7182160205932975E-01
 -9.9773568917606135E-05 -1.5902705229827505E+00  5.7182160205932975E-01
 -9.9773568917606135E-05  1.5914686170433561E+00  5.7182160205932975E-01
  9.9773568917606135E-05 -1.5914686170433561E+00 -5.7182160205932975E-01
 -1.5937029517521373E+00  1.6266837849203391E-03 -5.7182160205932975E-01
  1.5937029517521373E+00 -1.6266837849203391E-03  5.7182160205932975E-01
  1.5939024988899724E+00 -2.8247778455260811E-03 -5.7182160205932975E-01
 -1.5939024988899724E+00  2.8247778455260811E-03  5.7182160205932975E-01
 -2.9932070675281843E-04  1.7971410909086126E-03  1.7154648061779891E+00
  2.9932070675281843E-04 -1.7971410909086126E-03 -1.7154648061779891E+00
 -5.3136734867593594E-01 -1.5895286127110095E+00  5.7182160205932975E-01
  5.3136734867593594E-01  1.5895286127110095E+00 -5.7182160205932975E-01
  5.3116780153810061E-01  1.5907267067716151E+00  5.7182160205932975E-01
 -5.3116780153810061E-01 -1.5907267067716151E+00 -5.7182160205932975E-01
  5.3116780153810061E-01 -1.5910124332544915E+00  5.7182160205932975E-01
 -5.3116780153810061E-01  1.5910124332544915E+00 -5.7182160205932975E-01
 -5.3136734867593594E-01  1.5922105273150970E+00  5.7182160205932975E-01
  5.3136734867593594E-01 -1.5922105273150970E+00 -5.7182160205932975E-01
 -1.5939024988899724E+00 -5.2746507882549165E-01  5.7182160205932975E-01
  1.5939024988899724E+00  5.2746507882549165E-01 -5.7182160205932975E-01
  1.5937029517521373E+00  5.2866317288609743E-01  5.7182160205932975E-01
 -1.5937029517521373E+00 -5.2866317288609743E-01 -5.7182160205932975E-01
  1.5937029517521373E+00 -5.3191654045593817E-01  5.7182160205932975E-01
 -1.5937029517521373E+00  5.3191654045593817E-01 -5.7182160205932975E-01
 -1.5939024988899724E+00  5.3311463451654395E-01  5.7182160205932975E-01
  1.5939024988899724E+00 -5.3311463451654395E-01 -5.7182160205932975E-01
  2.9932070675281843E-04  5.2849271558010924E-01 -1.7154648061779891E+00
 -2.9932070675281843E-04 -5.2849271558010924E-01  1.7154648061779891E+00
 -5.3096825440026540E-01 -1.0552308191675427E-03 -1.7154648061779891E+00
  5.3096825440026540E-01  1.0552308191675427E-03  1.7154648061779891E+00
 -5.3156689581377115E-01  2.5390513626496825E-03  1.7154648061779891E+00
  5.3156689581377115E-01 -2.5390513626496825E-03 -1.7154648061779891E+00
 -2.9932070675281843E-04  5.3208699776192636E-01  1.7154648061779891E+00
  2.9932070675281843E-04 -5.3208699776192636E-01 -1.7154648061779891E+00
