START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
 -2.8121465799520385E-04 -5.7376381728165048E-03 -8.9238694254847817E-01
  2.8121465799520385E-04  5.7376381728165048E-03  8.9238694254847817E-01
 -9.9893050020750529E-01 -8.4694602669199085E-04  1.0595196653758979E-04
  9.9893050020750529E-01  8.4694602669199085E-04 -1.0595196653758979E-04
 -8.2674322723546852E-04 -1.0138751721415638E+00 -6.0416867757321297E-03
  8.2674322723546852E-04  1.0138751721415638E+00  6.0416867757321297E-03
 -1.3215695562253041E-04 -5.0119994789796540E-01  8.8936609916061216E-01
  1.3215695562253041E-04  5.0119994789796540E-01 -8.8936609916061216E-01
  4.9918403544575746E-01 -5.3141651594705097E-03 -8.9243991853174698E-01
 -4.9918403544575746E-01  5.3141651594705097E-03  8.9243991853174698E-01
  4.9974646476174783E-01  6.1611111861624998E-03  8.9233396656520936E-01
 -4.9974646476174783E-01 -6.1611111861624998E-03 -8.9233396656520936E-01
  6.9458627161293816E-04  5.1267522424359835E-01  8.9540778593634418E-01
 -6.9458627161293816E-04 -5.1267522424359835E-01 -8.9540778593634418E-01
 -9.9878989287850772E-01  2.0218730597162614E-03  4.4629942324077665E-01
  9.9878989287850772E-01 -2.0218730597162614E-03 -4.4629942324077665E-01
  9.9907110753650286E-01  3.7157651131002434E-03  4.4608751930770152E-01
 -9.9907110753650286E-01 -3.7157651131002434E-03 -4.4608751930770152E-01
 -6.8613589823786662E-04 -1.0110063530551554E+00  4.4015178449850695E-01
  6.8613589823786662E-04  1.0110063530551554E+00 -4.4015178449850695E-01
  9.6735055623307041E-04  1.0167439912279721E+00  4.5223515804997122E-01
 -9.6735055623307041E-04 -1.0167439912279721E+00 -4.5223515804997122E-01
  9.9851712859388753E-01 -5.0609064004408988E-01 -3.1267953544036548E-03
 -9.9851712859388753E-01  5.0609064004408988E-01  3.1267953544036548E-03
  9.9934387182112305E-01  5.0778453209747387E-01  2.9148914213284749E-03
