START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  0.0000000000000000E+00 -4.9004657279654473E-01  9.7678010771783741E-01
  4.9004657279654473E-01  0.0000000000000000E+00  9.7678010771783741E-01
 -9.8009314559308947E-01  0.0000000000000000E+00  4.8839005385891870E-01
  0.0000000000000000E+00 -9.8009314559308947E-01  4.8839005385891870E-01
  9.8009314559308947E-01  0.0000000000000000E+00  4.8839005385891870E-01
  0.0000000000000000E+00  9.8009314559308947E-01  4.8839005385891870E-01
 -9.8009314559308947E-01  0.0000000000000000E+00 -4.8839005385891870E-01
  0.0000000000000000E+00  9.8009314559308947E-01 -4.8839005385891870E-01
  9.8009314559308947E-01  0.0000000000000000E+00 -4.8839005385891870E-01
  0.0000000000000000E+00 -9.8009314559308947E-01 -4.8839005385891870E-01
 -9.8009314559308947E-01 -4.9004657279654473E-01  0.0000000000000000E+00
  9.8009314559308947E-01 -4.9004657279654473E-01  0.0000000000000000E+00
 -4.9004657279654473E-01 -9.8009314559308947E-01  0.0000000000000000E+00
  4.9004657279654473E-01  9.8009314559308947E-01  0.0000000000000000E+00
 -4.9004657279654473E-01  9.8009314559308947E-01  0.0000000000000000E+00
  9.8009314559308947E-01  4.9004657279654473E-01  0.0000000000000000E+00
 -9.8009314559308947E-01  4.9004657279654473E-01  0.0000000000000000E+00
  4.9004657279654473E-01 -9.8009314559308947E-01  0.0000000000000000E+00
  4.9004657279654473E-01  4.9004657279654473E-01  9.7678010771783741E-01
 -4.9004657279654473E-01 -4.9004657279654473E-01 -9.7678010771783741E-01
  4.9004657279654473E-01 -4.9004657279654473E-01  9.7678010771783741E-01
  4.9004657279654473E-01  4.9004657279654473E-01 -9.7678010771783741E-01
 -4.9004657279654473E-01  4.9004657279654473E-01 -9.7678010771783741E-01
 -4.9004657279654473E-01  4.9004657279654473E-01  9.7678010771783741E-01
  4.9004657279654473E-01 -4.9004657279654473E-01 -9.7678010771783741E-01
 -4.9004657279654473E-01 -4.9004657279654473E-01  9.7678010771783741E-01
 -4.9004657279654473E-01  9.8009314559308947E-01  4.8839005385891870E-01
 -9.8009314559308947E-01 -4.9004657279654473E-01  4.8839005385891870E-01
  4.9004657279654473E-01 -9.8009314559308947E-01 -4.8839005385891870E-01
 -4.9004657279654473E-01 -9.8009314559308947E-01 -4.8839005385891870E-01
  4.9004657279654473E-01  9.8009314559308947E-01  4.8839005385891870E-01
  4.9004657279654473E-01  9.8009314559308947E-01 -4.8839005385891870E-01
 -9.8009314559308947E-01  4.9004657279654473E-01 -4.8839005385891870E-01
  9.8009314559308947E-01  4.9004657279654473E-01 -4.8839005385891870E-01
 -9.8009314559308947E-01  4.9004657279654473E-01  4.8839005385891870E-01
  9.8009314559308947E-01  4.9004657279654473E-01  4.8839005385891870E-01
 -9.8009314559308947E-01 -4.9004657279654473E-01 -4.8839005385891870E-01
  4.9004657279654473E-01 -9.8009314559308947E-01  4.8839005385891870E-01
 -4.9004657279654473E-01 -9.8009314559308947E-01  4.8839005385891870E-01
  9.8009314559308947E-01 -4.9004657279654473E-01  4.8839005385891870E-01
 -4.9004657279654473E-01  9.8009314559308947E-01 -4.8839005385891870E-01
  9.8009314559308947E-01 -4.9004657279654473E-01 -4.8839005385891870E-01
  9.8009314559308947E-01  0.0000000000000000E+00  9.7678010771783741E-01
 -9.8009314559308947E-01  0.0000000000000000E+00  9.7678010771783741E-01
  0.0000000000000000E+00  9.8009314559308947E-01  9.7678010771783741E-01
  0.0000000000000000E+00  9.8009314559308947E-01 -9.7678010771783741E-01
  0.0000000000000000E+00 -9.8009314559308947E-01  9.7678010771783741E-01
  9.8009314559308947E-01  0.0000000000000000E+00 -9.7678010771783741E-01
  0.0000000000000000E+00 -9.8009314559308947E-01 -9.7678010771783741E-01
 -9.8009314559308947E-01  0.0000000000000000E+00 -9.7678010771783741E-01
  9.8009314559308947E-01  9.8009314559308947E-01  0.0000000000000000E+00
 -9.8009314559308947E-01  9.8009314559308947E-01  0.0000000000000000E+00
  9.8009314559308947E-01 -9.8009314559308947E-01  0.0000000000000000E+00
 -9.8009314559308947E-01 -9.8009314559308947E-01  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  1.4651701615767561E+00
  0.0000000000000000E+00  0.0000000000000000E+00 -1.4651701615767561E+00
  9.8009314559308947E-01 -4.9004657279654473E-01  9.7678010771783741E-01
 -4.9004657279654473E-01 -9.8009314559308947E-01  9.7678010771783741E-01
 -4.9004657279654473E-01  9.8009314559308947E-01 -9.7678010771783741E-01
  9.8009314559308947E-01  4.9004657279654473E-01  9.7678010771783741E-01
 -9.8009314559308947E-01 -4.9004657279654473E-01  9.7678010771783741E-01
  9.8009314559308947E-01 -4.9004657279654473E-01 -9.7678010771783741E-01
 -9.8009314559308947E-01  4.9004657279654473E-01  9.7678010771783741E-01
  4.9004657279654473E-01  9.8009314559308947E-01 -9.7678010771783741E-01
  4.9004657279654473E-01  9.8009314559308947E-01  9.7678010771783741E-01
